Judul,Isi,Kategori
Pengumuman Struktur Timnas Pemenangan AMIN Tinggal Menunggu Restu Anies,"JAKARTA– Wakil Ketua Majelis Syura PKS, Sohibul Iman mengatakan nama Kapten Tim Nasional atau Timnas pemenangan Anies Baswedan dan Muhaimin Iskandar (AMIN) sudah diputuskan.“Iya sudah, sudah diputuskan,” ujar Sohibul saat ditemui di Rumah Koalisi Perubahan, Jakarta Selatan, Jumat (10/11/202).Sohibul menerangkan keputusan untuk mengumumkan struktur Timnas AMIN tinggal menanti restu dari capres Koalisi Perubahan, Anies Baswedan. Ia memastikan struktur Timnas AMIN akan diumumkan dalam waktu dekat.“Tinggal nunggu Pak Anies memberikan sinyal untuk mengumumkan itu. Kemarin komunikasi saya dengan Pak Anies kemarin sih, beliau katakan satu-dua hari ini akan diumumkan,” tuturnya.Sebelumnya, Juru Bicara Anies, Sudirman Said menerangkan rencana pengumuman struktur Timnas AMIN batal diumumkan hari ini karena tidak ada kecocokkan waktu.“Nggak ada masalah (pengumuman Timnas AMIN). Mungkin nyocokin waktu. (Hari ini) Pak Anies di Jogja. Pak Muhaimin di Jawa Timur. Mungkin cari waktu yang cocok,” ujar Sudirman di Rumah Koalisi Perubahan, Jakarta Selatan, Jumat (10/11).Sudirman menyebut sejatinya elemen-elemen yang bergerak untuk memenangkan duet AMIN sudah berjalan. Sebab, sebelumnya juga Koalisi Perubahan sudah memiliki semacam tim pemenangan seperti Tim 8 dan Badan Pekerja atau BAJA.“Enggak kan sebetulnya elemen timnya udah bekerja. Jadi selama ini juga kan dari mulai Tim 8, di luar itu ada pendukungnya, kemudian Baja juga terus bekerja sampai sekarang. Tinggal nanti ditambah elemen-elemen baru dan mungkin sebentar lagi diumumkan,” ungkap Sudirman. (Red)",Politik
Warga Ciruas yang Tertembak Rampok Dirawat di RS Hermina,"SERANG– Madi, warga Desa Ranjeng, Kecamatan Ciruas, Kabupaten Serang dilarikan ke RS Hermina setelah ditembak kawanan bandit yang diduga akan mencuri mobil Daihatsu Xenia. Korban terkena terjangan timah panas pada bagian pinggang, paha dan tangan.Kapolsek Ciruas Kompol Cuaib membenarkan peristiwa tertembaknya salah seorang warga oleh pelaku yang diduga akan melakukan kejahatan. Peristiwa penembakan tersebut terjadi pada Jumat (3/11) sekitar pukul 03.00.“Iya betul, satu warga kena tembak pistol pelaku dan sudah mendapat perawatan di RS Hermina Ciruas,” ujar Kapolsek.Dikatakan Kapolsek, sebelumnya Madi yang sedang melakukan tugas ronda bersama warga lainnya memergoki 6 pria tidak dikenal menggunakan 3 motor sedang mengincar mobil Xenia yang terparkir di garasi rumah warga.“Karena mencurigakan, korban berusaha menghampiri. Namun tanpa disangka, salah seorang pelaku menodongkan senjata api namun mendapat perlawanan hingga korban terkena tembakan pada bagian tangan,” terang Kompol Cuaib.Mendapat perlawanan, kawanan perampok berusaha melarikan diri namun salah seorang pelaku tertinggal. Karena terus dikejar, pelaku kembali menembakan pistolnya ke arah korban dan mengenai pinggang dan paha korban.“Akibat luka tembak, korban tidak lagi mampu mengejar dan pelaku berhasil melarikan diri setelah menodong dan merampas motor pengojek yang kebetulan melintas,” Kapolsek.Korban yang luka tembak segera melarikan korban ke rumah sakit untuk mendapatkan pengobatan. Sedangkan warga lainnya melaporkan kasus penembakan tersebut ke Mapolsek Ciruas.“Personil Unit Reskrim masih melakukan penyelidikan untuk mengetahui identitas pelaku. Dalam penyelidikan ini, kami dibantu Tim Resmob Satreskrim Polres Serang,” tandasnya. (red)",Kriminal
Warga Lopang Cilik Serang Jadi Korban Curanmor,"SERANG– Kejadian pencurian kendaraan motor terjadi di Lingkungan Lopang Cilik, Kelurahan Lopang, Kota Serang pada Senin (4/12/2023) petang.Korban bernama Deni, mengatakan jika motor yang hilang merupakan milik temannya. Motor Scoopy Merah itu kemudian dipinjam oleh kakaknya untuk pergi ke Indomaret.Setelah kembali, ia kemudian memarkir motor tersebut di depan gang rumah mereka. Tidak sampai 5 menit saat korban kembali motor tersebut sudah tidak ada di tempat.“Pas masuk dulu ke dalem (Rumah) ga lama 5 menit lah itu langung ilang motor,” kata Deni.Aksi pelaku ternyata tertangkap CCTV tetangga mereka. Terlihat dalam CCTV jika pelaku terdiri dari 2 orang dan telah memantau situasi sebelum melancarkan aksinya.“Pelakunya berdua pake masker,” imbuhnya.Deni mengatakan bahwa temannya saat ini meminta ganti rugi motor tersebut. Ia juga telah melaporkan peristiwa tersebut ke Polsek Serang.Dihubungi terpisah, Kanit Reskrim Polsek Serang Ipda Suharya mengonfirmasi terkait laporan tersebut masuk pukul 21.00 WIB.“Dari pihak Polsek Serang sudah meminta rekaman CCTV yg ada di TKP dan melakukan penyelidikan terkait keberadaan pelaku,” kata Suharya.(Dra/red)",Kriminal
Sekretaris KONI Kota Serang Jadi Bacalon Tunggal Ketua Umum,"SERANG– Satu kandidat calon Ketua Umum (Ketum) KONI Kota Serang mengembalikan berkas pendaftaran kepada Tim Penjaringan dan Penyaringan (TPP). Sesuai tahapan yang telah dibentuk, batas pengembalian formulir pendaftaran yakni pada 3-8 Agutus 2023.Bursa pencalonan diikuti oleh dua sosok internal KONI Kota Serang yakni Edi Irianto selaku Sekretaris dan DN Hamzah yang menjabat sebagai Bendahara. Namun, saat hari terakhir batas pengembalian formulir pendaftaran, hanya Edi yang datang menyerahkan berkas.Berkas pendaftaran Bakal Calon (Bacalon) Ketua Umum KONI Kota Serang periode 2023-2027 itu diserahkan Edi bersama rombongannya di Sekretariat TPP pada Senin (7/8/2023) pukul 16.30 WIB.“Kami sudah menunggu hingga batas akhir. Tapi hanya pak Edi yang mengembalikan berkas. Dengan demikian, untuk DN Hamzah gugur dengan sendirinya,” jelas Ketua TPP Calon Ketua Umum KONI Kota Serang periode 2023-2027, Mufti Rahman pada Selasa (8/8/2023).Mufti mengatakan, berkas persyaratan itu nantinya akan diverifikasi terlebihi dahulu. Proses verifikasi berlangsung dari 9-14 Agustus 2023.Setelah berkas diverifikasi, bakal calok dipersilakan untuk memperbaiki atau menyempurnakan berkas sebelum 19 Agustus 2023. Selanjutnya tim penjaringan akan melakukan verifikasi lanjutan untuk menentukan lolos atau tidaknya Edi Irianto sebagai Ketum KONI Kota Serang 2023-2027.“Tahapannya demikian. Berkas pak Edy akan TPP periksa dulu, kebetulan persyaratannya lumayan banyak yah,” ucapnya.Hal senada disampaikan anggota TPP lainnya, Nafis Hani terkait tahapan lanjutan setelah pengembalian berkas. “Usai penutupan pengembalian formulir pendaftaran Calon Ketua Umum kami kembali bekerja untuk verifikasi data. Mekanismenya seperti itu,” jabarnya.Edi Irianto menjadi kandidat dengan dukungan terbanyak. Ia sudah meraup 43 dukungan suara yang berasal dari cabang olahraga (cabor) di Kota Serang.(Nin/Red)",Olahraga
Kesbangpol Kabupaten Tangerang Ajak Semua Pihak Jaga Etika dan Hindari Politik...,"KAB. TANGERANG– Kepala Badan Kesatuan Bangsa dan Politik (Kesbangpol) Kabupaten Tangerang, Rudi Lesmana mengajak semua pihak yang terlibat dalam pemilu agar terus menjaga etika dan menghindari politik destruktif.Menurut dia, pemilu yang berkualitas tidak hanya mencakup prosesnya, tetapi juga suasana politik yang tercipta sepanjang kampanye. Karena itu, pemerintah mengajak semua pihak agar menghindari politik yang bersifat destruktif.“Mari kita mengedepankan argumentasi yang cerdas berbasis fakta, dan berfokus pada solusi, bukan sekadar kritik tanpa dasar. Mari bersama-sama menciptakan suasana politik yang kondusif untuk membangun masa depan yang lebih baik bagi negara kita dan daerah tercinta kita Kabupaten Tangerang,” katanya saat membuka forum diskusi politik di Hotel Lemo, Kecamatan Kelapa Dua, Kabupaten Tangerang, Senin (11/12/2023).Forum itu menjadi momentum untuk berdialog dan bertukar pikiran serta berkomitmen bersama dalam mendukung pesta demokrasi yang berkualitas, adil, dan damai. Kegiatan tersebut dihadiri sejumlah perwakilan dari partai politik, kepala desa, tokoh masyarakat, tokoh agama, mahasiswa, dan siswa sekolah menengah atas (SMA).Rudi mengatakan, forum diskusi politik itu mengusung tema “Kampanye Inklusif Mewujudkan Pemilu Damai Berkualitas”. Tema yang dipilih tersebut sangat relevan dan strategis dalam rangka menyambut Pemilu di Tahun 2024 mendatang.“Dari tema itu kita dapat belajar banyak hal. Inklusivitas mengajarkan kita untuk mendengar beragam suara, menghargai perbedaan pendapat, dan menuntut kita bekerja bersama untuk mencapai tujuan bersama,” terangnya.Kepala Bidang Politik Dalam Negeri dan Organisasi Kemasyarakatan Pada Badan Kesbangpol Kabupaten Tangerang, Sapta Laelani menambahkan, kegiatan ini bertujuan untuk memfasilitasi masyarakat di Kabupaten Tangerang untuk meningkatkan wawasan dan cakrawala politik.“Pada kegiatan hari ini menghadirkan narasumber dari Ketua KPU Provinsi Banten, Komisioner Bawaslu RI, Periode 2008-2012, Dosen Fakultas Hukum Untirta, Dosen Fisip Untirta, dan Akademi Pemilu dan Demokrasi Kabupaten Tangerang,” jelasnya.(Ril/Red)",Politik
"Tournament Bola Voli Walikota Tangerang Cup 2023, 19 Klub Berbagai Daerah...","TANGERANG– Kemeriahan Hari Ulang Tahun (HUT) ke-30 Kota Tangerang tak hanya dirasakan masyarakat Kota Tangerang, dengan berbagai event yang digelar di 13 kecamatan. Namun, di dunia olahraga 19 klub voli dari berbagai daerah turut memeriahkan dengan mengikuti Tournament Bola Voli Wali Kota Cup Kota Tangerang 2023, di GOR Gondrong, Kecamatan Cipondoh, Jumat (17/2/2023).Tournament Bola Voli Walikota Cup 2023, yang digelar Dinas Pemuda dan Olahraga (Dispora) ini, dibuka langsung oleh Wali Kota Tangerang, Arief R Wismansyah beserta jajarannya. Dilanjut pertandingan antara klub Gajah Tunggal, Kota Tangerang Vs BPK Bayah, Kabupaten Lebak.Kepala Dispora Kota Tangerang, Kaonang mengungkapkan 19 klub voli yang berpartisipasi datang dari berbagai daerah. Mulai dari Kota Tangerang, Kabupaten Lebak, Bekasi, Bogor hingga Yogyakarta. Terdiri dari sembilan klub putra dan 10 klub putri.“Pertandingan akan berlangsung tiga hari hingga 19 Februari mendatang. Seluruh peserta bertandinglah dengan penuh semangat, pantang menyerah dan raih prestasi. Tunjukan semua kemampuan yang dimiliki serta tanaman jiwa sportivitas,” ungkap Kaonang.Ia pun menyatakan, dengan tournament seperti ini, di moment HUT Kota Tangerang, harapannya dapat melahirkan atlet-atlet yang matang dan tangguh. Terlebih, menjadi upaya mengembangkan dunia olahraga bola voli khususnya di Kota Tangerang dan Indonesia pada umumnya.“Ini menjadi ajang kedua GOR Gondrong digunakan, dimana sebelumnya sukses digunakan untuk Porprov Banten ke-VI. Selanjutnya, GOR Gondrong akan digunakan untuk even besar Proliga yang digelar PBVSI mendatang. Ini menjadi bukti, pemanfaatan pembangunan GOR di Kota Tangerang digunakan secara berkelanjutan,” tegas Kaonang.(Ril/Red)",Olahraga
"Harga Tiket Indonesia vs Argentina Dinilai Mahal, PSSI Beri Penjelasan","JAKARTA– Tiket Timnas Indonesia vs Argentina dalam FIFA Matchday Juni 2023 dipatok PSSI dengan harga yang relatif tinggi. Namun, hal itu disebut sudah sesuai dengan riset pasar yang dilakukan.PSSI telah resmi merilis jumlah, harga dan kapan tiket Timnas Indonesia vs Argentina bisa dibeli dalam konferensi pers di Stadion Utama Gelora Bung Karno (SUGBK) Senayan, Jakarta, pada Senin (29/5/2023).Terdapat empat kategori tiket yang disediakan untuk pertandingan yang akan berlangsung di SUGBK, Senayan pada 19 Juni mendatang tersebut.Kategori 3 atau termurah dijual dengan harga Rp600 ribu, disusul berturut-turut Kategori 2, Kategori 1 dan VIP Barat dan Timur yang dipatok Rp1,2 juta, Rp2,5 juta dan Rp4,25 juta.Jika dibandingkan harga tiket FIFA Matchday sebelumnya kontra Burundi, PSSI cuma mematok tiket termurah Rp90 ribu alias berkali-kali lipat lebih rendah.Menurut Ketua Umum PSSI, Erick Thohir pun buka suara terkait keputusan PSSI mematok harga cukup tinggi untuk tiket Timnas Indonesia vs Argentina.Menurutnya, sudah seharusnya pertandingan olahraga yang melibatkan Timnas Indonesia untuk dipatok dengan harga tinggi. Dia tak mau event olahraga kalah dari acara hiburan.Menurut Erick, hal itu penting dilakukan lantaran pertandingan yang melibatkan Timnas Indonesia kental dengan rasa nasionalisme serta pemasukan dari penjualan tiket juga bisa membantu membangun perkembangan tim nasional.“Coba lihat laga olahraga di dunia, tiket Piala Dunia lebih mahal dari konser apa pun, tapi kita tentu bertahap,” kata Erick Thohir dalam konferensi pers, Senin (29/5/2023).“Saya juga ingin mengetuk, jangan selalu ketika membawa event olahraga besar, selalu kalah saing dengan entertainment. Kalau olahraga ini kan ada nasionalismenya dan ini bagian dari membangun timnas. Jadi mestinya secara value, harusnya lebih mahal.”Menurut Erick, penting bagi PSSI memiliki rencana strategis yang tepat. Dia ingin penyelenggaraan FIFA Matchday terutama yang melibatkan negara-negara besar bisa menghadirkan keuntungan bagi PSSI alih-alih merugi.“Dengan pendapatan tiket yang affordable, baik pemasukan dari media, hingga sponsor, saya rasa target bisa ada profit. Supaya jangan dibiasakan tidak bisa membawa pertandingan besar lagi. Nanti jadi kapok kalau merugi. Hanya akan jadi mimpi,” tegas Erick dikutip dari laman resmi PSSI.Selain menghadapi Argentina, Timnas Indonesia dijadwalkan lebih dulu melawan Palestina dalam FIFA Matchday Juni 2023 tepatnya pada 14 Juni di Stadion Gelora Bung Tomo, Surabaya. (Red)",Olahraga
6.333 Atribut Kampanye di Kabupaten Serang Dibongkar,"KAB. SERANG– Bawaslu dan Satpol PP Kabupaten Serang membongkar sejumlah alat peraga kampanye (APK). Total ada 6.333 baliho hingga stiker yang telah ditertibkan.Koordinator Divisi Penanganan Pelanggaran Data dan Informasi Bawaslu Kabupaten Serang, Abdul Holid mengatakan, sebelum melakukan penertiban pihaknya mendata jumlah APK tersebut. Namun, ketika dilakukan pembongkaran, jumlah atribut kampanye itu rupanya bertambah.“APK ini sebelum ditertibkan totalnya ada sekitar 5.382 yang kami data, ternyata setelah kami tertibkan lebih dari apa yang sudah didata. Artinya APK yang sudah ditertibkan ada yang masang lagi bacaleg-bacaleg dan partai politik ini,” ungkapnya, Jumat (3/11/2023).Holid menegaskan, untuk para parpol maupun calegnya tidak memasang kembali APK yang telah dicopot. Pasalnya, imbauan untuk tidak memasang atribut kampanye itu sudah dilakukan berulang kali melalui berbagai upaya pencegahan.“Kami sudah mengimbau kembali ke partai politik semoga imbauan ini bisa disampaikan ke caleg-calegnya untuk jangan memasang lagi,” tegasnya.Bawaslu Kabupaten Serang, sebelum melakukan penertiban atribut kampanye telah menempuh berbagai upaya pencegahan. Diantaranya dengan menyampaikan surat imbauan kepada seluruh partai politik (parpol) di Kabupaten Serang. Surat pertama dilayangkan pada 6 September 2023 tentang imbauan agar parpol peserta Pemilu 2024 mematuhi PKPU Nomor 15 tahun 2023.Kemudian, surat kedua disampaikan pada 23 September 2023 yang berisikan imbauan agar parpol peserta Pemilu 2024 menurunkan secara mandiri APK yang melanggar ketentuan.Selain itu, Bawaslu juga melakukan rapat koordinasi bersama seluruh parpol serta Satpol PP untuk membahas apa yang boleh dilakukan dan yang tidak boleh dilakukan sebelum masa kampanye dimulai.Baliho yang terpasang di billboard hingga stiker-stiker itu, kata Holid, sudah melanggar PKPU Nomor 15 tahun 2023 serta Perda K3 lingkungan hidup. Pembongkaran APK juga dilakukan hingga ke tingkat kecamatan.Ribuan APK yang ditertibkan yakni 3.473 reklame (billboard dan baliho), 1.171 spanduk, 719 poster, 285 umbul-umbul, 182 stiker, 160 pamflet, dan 340 APK lainnya.“Sebelum masuk tahapan kampanye pada 28 November 2023, peserta Pemilu tidak boleh pasang APK di tempat umum. Yang diperbolehkan menurut PKPU tentang Kampanye adalah melakukan sosialisasi dengan pasang bendera, nomor urut partai, dan pertemuan terbatas internal partai,” terangnya.Holid kembali menegaskan, penertiban APK terus dilakukan sampai dengan mulainya masa kampanye. “Penertiban akan dilakukan Satpol PP melalui patroli rutin mingguan di seluruh wilayah Kabupaten Serang. Proses penertibannya akan didampingi Bawaslu, Panwascam dan Pengawas Desa,” ucapnya.(Nin/Red)",Politik
Legenda Sepakbola Pele Meninggal Dunia,"BRAZIL– Neymar memimpin penghormatan untuk legenda sepak bola Brazil Pele yang meninggal dunia pada Kami (29/12/2022). Bintang Paris Saint Germain tersebut mengatakan bahwa Pele yang ikonik telah mengubah cabang olahraga ini “menjadi seni”.Pele meninggal dunia pada usia 82 setelah menderita “kegagalan banyak organ tubuh” setelah pertempuran panjang dengan kanker.Dijuluki “O Rei” (Sang Raja), Pele mencetak lebih dari 1.000 gol sebelum pensiun pada tahun 1977.Neymar, pemain depan yang juga dari Brasil, memuji Pele sebagai satu-satunya orang yang memenangkan tiga Piala Dunia, dalam sebuah posting media sosial di samping dua foto dirinya dengan sang legenda.“Sebelum Pele, ’10’ hanyalah angka,” tulis pewaris nomor punggung Pele yang terkenal itu di Instagram, seperti dikutip AFP.“Tapi kalimat indah itu tidak lengkap. Saya bisa mengatakan bahwa sebelum Pele, sepak bola hanyalah olahraga. Dia mengubah sepak bola menjadi seni, menjadi hiburan… Sepak bola dan Brazil memperoleh status berkat sang Raja. Dia telah pergi, tetapi keajaibannya akan tetap ada. Pele adalah ABADI!”Seperti Pele, striker Prancis Kylian Mbappe menjadi bintang setelah memenangkan Piala Dunia di usia muda pada 2018.Pele men-tweet ucapan selamat kepada Mbappe ketika pemain berusia 19 tahun itu menjadi remaja pertama yang mencetak lebih dari satu gol dalam pertandingan Piala Dunia — melawan Argentina di Piala Dunia 2018 — sejak dua gol Pele ketika bersama timnas Brazil melawan Swedia di final 1958.“Raja sepak bola telah meninggalkan kita tetapi warisannya tidak akan pernah dilupakan. RIP RAJA,” cuit penyerang PSG Mbappe, yang mencetak hat-trick dalam kekalahan Prancis melawan Argentina di final Piala Dunia awal bulan ini. (Red)",Olahraga
"Dugaan Kecurangan Wasit, Serang Jaya Bakal Lapor ke Polda Banten","SERANG– Serang Jaya akan melaporkan kasus dugaan kecurangan yang dilakukan wasit saat pertandingan babak delapan besar Liga 3 Zona Banten. Kecurangan itu dilakukan ketika Laskar Surosowan menghadapi Persic Cilegon di Stadion Tri Matra Kodiklat TNI, Tangerang Selatan, Banten pada Kamis (26/10/2023).Manajemen Laskar Benteng Tirtayasa–julukan lain Serang Jaya– menilai banyak keputusan wasit Sigit yang tidak adil. Hal itu seperti pemberian pelanggaran yang tak semestinya kepada pemain Serang Jaya hingga pinalti yang tak sah.Sekadar informasi, satu gol Persic Cilegon yang berasal dari titik penalti pada menit ke-25 dinilai Serang Jaya tidak adil. Sebab, keputusan wasit Sigit asal Kabupaten Tangerang yang memberikan hadiah penalti itu dianggap tidak tepat karena tidak ada pelanggaran yang dilakukan penjaga gawang Imam kepada pemain lawan.Direktur Teknik (Dirtek) Serang Jaya, Zeka Bachdi mengapresiasi pelaksanaan Liga 3 Indonesia Zona Banten. Namun dirinya tak menampik jika kecewa dengan oknum perangkat pertandingan pada laga melawan Persic Cilegon.“Makanya, tim advokasi Serang Jaya kini sedang bergerak mengumpulkan bukti-bukti yang ada dari pemain dan rekaman vidio saat Serang Jaya berlaga dengan Persic Cilegon. Bila sudah lengkap, kami segera bikin laporan ke Polisi,” ujarnya pada Senin (30/10/2023).Zeka menambahkan, apa yang akan dilakukan memang tidak akan mengubah hasil pertandingan, akan tetapi pihaknya tidak ingin kejadian serupa terulang kembali.Laskar Surosowan dipastikan tersingkir dari kompetisi Liga 3 Indonesia Zona Banten karena kalah 1-2 dari Persic Cilegon.“Jangan sampai terulang kembali. Jujur, selama saya pegang Serang Jaya dari 2010, baru kali ini melihat skuat dikerjai wasit habis-habisan. Dari peluit pertama dibunyikan, bagai neraka buat kami,” keluhnya.Hal senada disampaikan Sekretaris Umum Serang Jaya, Nafis Hani. Dugaan pengaturan pertandingan harus dilaporkan ke Polda Banten dan Satgas Mafia Sepakbola.“Kasihan talenta-talenta muda sepakbola Banten bila pertandingannya seperti itu terus. Ayolah, fair play jangan cederai sportivitas hanya karena punya jabatan dan ambisi yang besar untuk kepentingan pribadi,” cetusnya.Dugaan kecurangan tersebut berujung bentrok hingga menyebabkan laga Serang Jaya dengan Persic Cilegon sempat tertunda 30 menit. Padahal saat itu pertandingan baru berlangsung selama 25 menit dan kedudukan imbang 1-1.Di mana offisial, pelatih dan pemain melakukan protes keras karena wasit Sigit memberikan hadiah penalti kepada Persic Cilegon lantaran penjaga gawang Imam dinilai melanggar straiker Kodel.Meski sempat protes dan meminta pergantian perangkat pertandingan, panitia tak menggubrisnya. Pertandingan tetap dilanjutkan dan selesai untuk kemenangan Persic Cilegon 2-1.(Nin/Red)",Kriminal
Hasil Asian Games 2022 Jadi Evaluasi Menuju Olimpiade Paris,"JAKARTA– Ketua Komite Olimpiade Indonesia (KOI/NOC Indonesia) Raja Sapta Oktohari menilai hasil Tim Indonesia di Asian Games 2022 Hangzhou perlu menjadi catatan bersama dan bahan evaluasi menuju Olimpiade Paris 2024.“Kita mendapat banyak referensi dari Asian Games untuk bahan evaluasi menuju Paris. Pulang dari sini, kita harus duduk bersama dan mengevaluasi perbaikan-perbaikan yang perlu kita lakukan. Olimpiade Paris tinggal satu tahun lagi dan kualifikasi sudah berjalan, kita harus mengoptimalkannya,” kata Okto, dikutip dari keterangan resmi, Minggu (8/10/2023)Tim Indonesia menutup Asian Games 2022 Hangzhou dengan raihan 7 emas, 11 perak, dan 18 perunggu. Dengan hasil tersebut, Merah Putih menduduki peringkat 13 klasemen akhir.Secara torehan keping emas yang diberikan Tim Indonesia, hasil di Hangzhou menjadi yang terbaik sejak Asian Games digelar di luar Indonesia sejak 41 tahun terakhir. Pada Asian Games 1982 New Delhi, Indonesia meraih 4 emas, 4 perak, dan 7 perunggu.Sementara secara peringkat, posisi Tim Indonesia lebih baik sejak Asian Games 2002 Busan-Korea Utara. Kala itu Tim Indonesia menempati ranking 14.“Ada juga BMX yang melanjutkan tradisi emas yang dicetak di Jakarta-Palembang. Wushu impresif di negara asal bela diri ini. Panahan mendapat tiket Olimpiade Paris 2024. Weightlifting melalui atlet Rahmat Erwin Abdullah meraih emas dan mencatat rekor dunia, rekor Asia dan rekor Asian Games. Speed climbing juga mampu mencatatkan rekor Asian Games, dan perak yang diberikan skateboard, Insya Allah, bisa menjadi modal bagi Indonesia lolos kualifikasi di Paris,” jelas Okto.Sementara terkait adanya cabang olahraga yang meleset dari target, Okto meminta agar warganet tidak merundung para atlet di media sosial.“Sebab, atlet adalah aset bangsa. Atlet sudah berjuang untuk kita semua, sehingga tidak layak mendapat perlakuan yang tidak baik,” kata Okto.Ia berharap, hasil di Asian Games juga dapat menjadi evaluasi untuk Desain Besar Olahraga Nasional (DBON).Di sisi lain, Chef de Mission Tim Indonesia untuk Asian Games 2022 Basuki Hadimuljono berterima kasih atas kepercayaan NOC Indonesia dan Kemenpora untuk menjadi pemimpin kontingen.Basuki menilai Asian Games menjadi pengalaman berharga baginya untuk berinteraksi para atlet.“Terkait evaluasi, olahraga tentu ada tolok ukurnya. Di Incheon kita di ranking 17, dan di sini 13. Evaluasinya kita perlu di cabang olahraga, pemerintah yang bertanggung jawab harus ditingkatkan. Pertama sarana dan program,” kata Basuki.“Setahu saya, anggaran tidak jadi soal. Program harus dievaluasi, karena anggaran juga pasti menyesuaikan program. Ini yang harus dibenahi jika sasaran kita mau Olimpiade. Saya akan berbicara dengan Kemenpora dan Kemenkeu,” imbuhnya. (Red)",Olahraga
Koalisi Indonesia Maju Optimis Menangkan Prabowo-Gibran Satu Putaran,"LEBAK– Ratusan pendukung Prabowo-Gibran mengadakan silaturahmi Koalisi Indonesia Maju dirumah kediaman mantan Bupati Lebak dua periode Mulyadi Jayabaya, di Desa Warunggunung, Kecamatan Warunggunung, Kabupaten Lebak, Banten, Jumat (1/12/2023).Ketua Tim Kampanye Daerah (TKD) Banten pasangan Prabowo-Gibran, Airin Rachmi Diany mengatakan, jika dirinya telah ditunjuk untuk menjadi ketua TKD Prabowo-Gibran, dan dirinya optimis bila pasangan Prabowo-Gibran akan menang satu putaran.“Ini adalah bagian dari rangkaian konsolidasi di tingkat Kabupaten/Kota se-provinsi Banten. Apalagi di Lebak ini di-supportoleh Bapak Mulyadi Jayabaya, yang tentunya akan menjadi penyemangat bagi TKD untuk memenangkan Prabowo-Gibran dalam satu putaran,” kata Airin seusai acara.Ia mengungkapkan, strategi menjemput kemenangan tentunya dengan konsolidasi dan semua partai koalisi untuk turun ke lapangan untuk kesuksesan kemenangan Prabowo-Gibran.“Tentu turun ke lapangan bukan hanya berjenjang di kabupaten, tapi juga tim kemenangan haruslah turun ke tingkat kecamatan, desa, RT dan RW,” ujarnya.Ia menambahkan,  semua partai koalisi sudah memahami budaya dan karakter masyarakat Lebak. Dengan hadirnya semua partai koalisi akan semakin memberikan semangat kemenangan pada Pemilu 2024.“Saya yakin temen-temen koalisi partai sudah paham, dengan kultur dan masyarakat yang ada di Lebak. Bukan hanya memenangkan pileg saja tetapi juga pilpres,” ucapnya.Sementara itu Ketua TKD Kabupaten Lebak Bangbang SP mengatakan, acara ini digelar untuk menyatukan tim dalam memenangkan Prabowo-Gibran di Kabupaten Lebak.“Kita sembilan partai yang tergabung dalam koalisi Untuk Indonesia Maju siap memenangkan Prabowo-Gibran dengan menggerakan semua elemen-elemen yang kita punya,” katanya.Ia berharap, mudah-mudahan tim pemenangan bisa bekerja semaksimal mungkin untuk kemenangan Prabowo-Gibran dan menjadi Presiden dan Wakil Presiden RI.“Intinya sih, Prabowo-Gibran menang satu putaran,” ucapnya.Perlu diketahui, jika dalam silaturahmi Koalisi Indonesia Maju tersebut dihadiri oleh sembilan partai yang mengusung Prabowo-Gibran dalam Pemilu 2024 nanti.(San/Red)",Politik
